taxa_name	pectoral_fin
Astroblepus_festae_sp._3_Mo_1991	1
Olyridae	1
Ageneiosus_inermis	1
Distichodus_notospilus	1
Bagre_marinus	1
Denticetopsis_seducta	1
Atopodontus	1
Corydoras_paleatus	1
Cheilinus_undulatus	1
Ictalurus_sp._Fink_and_Fink_1981	1
Aspidoras_rochai	1
Gerlachea_australis	1
Synodontis_angelica	1
Acestrorhynchus_altus	1
Mastacembelus_moorii	1
Netuma_proxima	1
Bathysauropsis_malayanus	1
Alepisaurus_ferox	1
Pterygoplichthys_pardalis	1
Charax_unimaculatus	1
Trinectes_maculatus	0
Vandellia_sp._Fink_and_Fink_1981	1
Corydoras_baderi	1
Neoscopelus_macrolepidotus	1
Oxyropsis_carinata	1
Helicolenus_hilgendorfii	1
Eremichthys	1
Cetopsidium_orientale	1
Pseudaphritis_urvillii	1
Silurus_lithophilus	1
Aulorhynchus_flavidus	1
Parodon_caliensis	1
Gasterosteus_aculeatus	1
Mastacembelus_stappersii	1
Eumecichthys_fiski	1
Bagrus_meridionalis	1
Tarletonbeania_crenularis	1
Vomeridens_infuscipinnis	1
Pectinochromis_lubbocki	1
Cyprinodon_diabolis	1
Bagroides_melapterus	1
Phenacobius_uranops	1
Bulbonaricus	0
Aseraggodes_holcomi	0
Lythrurus_umbratilis	1
Pseudomystus_breviceps	1
Oryzias_uwai	1
Notropis_procne	1
Brycinus_nurse	1
Lavinia_exilicauda	1
Synodontis_acanthoperca	1
Notropis_uranoscopus	1
Bathymicrops_regis	1
Chrysichthys_sianenna	1
Mystus_nigriceps	1
Careproctus_cypselurus	1
Ernstichthys_anduzei	1
Synodontis_clarias	1
Trachinocephalus_myops	1
Hoplosternum_littorale	1
Schistura_breviceps	1
Mystus_gulio	1
Blennodesmus	1
Stylephorus_chordatus	1
Noturus_stigmosus	1
Acestrorhynchus_abbreviatus	1
Protoclupea_atacamensis	1
Bothidae	1
Synodontis_?_sp._Royero_1999	1
Typhlobelus_macromycterus	1
Centromochlus_megalops	1
Amarginops_platus	1
Iheringichthys_labrosus	1
Alabes_dorsalis	0
Conniella_apterygia	1
Cyttus_traversi	1
Cyprinella_callistia	1
Kaupichthys	1
Synodontis_rebeli	1
Opisthopterus_macrops	1
Campostoma_oligolepis	1
Saurorhamphus_freyeri	1
Monodactylidae	1
Myxocyprinus_asiaticus	1
Corydoras_xinguensis	1
Pterobunocephalus_depressus	1
Paraconger	1
