taxa_name	pectoral fin	
Chiloglanis neumanni	1	
Odontognathus compressus	1	
Pseudolabrus crassilabris	1	
Neotropius acutirostris	1	
Oligosarcus argenteus	1	
Planiloricaria sp. (Britto 2003)	1	
Pseudotothyris sp. (Schaefer 1991)	1	
Notropis chiliticus	1	
Coreobagrus brevicorpus	1	
Neotropius khavalchor	1	
Acrocheilus alutaceus	1	
Moringua edwardsi	1	
Platydoras costatus	1	
Cyprinodon variegatus	1	
Himantolophidae	1	
Odontognathus panamensis	1	
Hemibagrus hainanensis	1	
Rhamdia sp. (Kailola 2004)	1	
Chrysichthys persimilis	1	
Hypostomus watwata	1	
Notoglanidium walkeri	1	
Breitensteinia insignis	1	
Ageneiosus ucayalensis	1	
Piabucina panamensis	1	
Micralestes elongatus	1	
Dolichancistrus pediculatus	1	
Platystomatichthys sturio	1	
Pangio kuhlii	1	
Sebastes owstoni	1	
Genus 12 sp. (Bockmann 1998)	1	
Chrysichthys grandis	1	
Pseudochaenichthys georgianus	1	
Hara hara	1	
Acestridium discus	1	
Dolichancistrus cobrensis	1	
Hypostomus punctatus	1	
Brachyrhamdia heteropleura	1	
Auchenipterichthys thoracatus	1	
Heterenchelyidae	0	
Acrochordonichthys ischnosoma	1	
Parauchenoglanis punctatus	1	
Mochokiella paynei	1	
Bothidae	1	
Ancistrus chagresi	1	
Synodontis ? sp. (Royero 1999)	1	
Lepturacanthus	1	
Micralestes cf. elongatus (Zanata and Vari 2005)	1	
Oryzias javanicus	1	
Conta conta	1	
Pseudancistrus brevispinis	1	
Chaenocephalus aceratus	1	
Pangio anguillaris	1	
Oncorhynchus mykiss	1	
Scopelarchoides nicholsi	1	
Oryzias minutillus	1	
Ophisternon candidum	0	
Bagrus meridionalis	1	
Gogo brevibarbis	1	
Psettodes	1	
Schizolecis guntheri	1	
Cathorops hypophthalmus	1	
Astroblepus festae sp. 3 (Mo 1991)	1	
Anchoa compressa	1	
Dolichancistrus atratoensis	1	
Scytalina cerdale	1	
Micralestes cf. acutidens (Zanata and Vari 2005)	1	
Oryzias nigrimas	1	
Hypostomus plecostomus	1	
Gymnotus carapo	1	
Chionobathyscus dewitti	1	
Pelteobagrus eupogon	1	
Centromochlus concolor	1	
Bathybagrus tetranema	1	
Ageneiosus inermis	1	
Ctenolucius hujeta	1	
Notoglanidium thomasi	1	
Varasichthyidae	1	
Pimelodina flavipinnis	1	
Natalichthys	1	
Ophisternon infernale	0	
Chionodraco hamatus	1	
Gephyroglanis congicus	1	
Danionella mirifica	1	
Imparfinis sp. cf. minutus (Bockman 1998)	1	
Notoglanidium pallidum	1	
Scopelarchoides signifer	1	
Adelosebastes latens	1	
Ophisternon afrum	0	
Chionodraco myersi	1	
Hypostomus commersoni	1	
Alabes	0	
Anotopterus pharao	1	
Hypopygus lepturus	1	
Hypostomus margaritifer	1	
Trachelyichthys decaradiatus	1	
Boulengerella lateristriga	1	
Hypoptopoma sp. (Schaefer 1987)	1	
Amarginops platus	1	
Denticeps clupeoides	1	
Auchenoglanis biscutatus	1	
Enchodus gracilis	1	
Trogloglanis pattersoni	1	
Rineloricaria teffeana	1	
Sciades herzbergii	1	
Ereunias grallator	1	
Amarginops hildae	1	
Acestrorhynchus isalineae	1	
Synodontis haugi	1	
Sciades proops	1	
Astroblepus heterodon	1	
Rhamphichthyidae	1	
Pelteobagrus intermedius	1	
Hypostomus boulengeri	1	
Paedocypris	1	
Rhoadsia altipinna	1	
Oxyropsis wrightiana	1	
Careproctus rastrinus	1	
Eigenmannia sp. (Fink and Fink 1981)	1	
Pseudolithoxus anthrax	1	
Diplomystus dentatus	1	
Helicolenus hilgendorfii	1	
Tetrabrachiidae	1	
Pseudobagarius baramensis	1	
Chiloglanis polypogon	1	
Notropis buccula	1	
Nemapteryx augusta	1	
Careproctus reinhardti	1	
Hypoptopoma thoracatum	1	
Alabes brevis	0	
Hypoptopoma joberti	1	
Bathybagrus graueri	1	
