taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Saurida brasiliensis	1	2	0
Saurida normani	1	2	0
Saurida tumbil	1	2	0
Saurida gracilis	1	2	0
Saurida undosquamis	1	2	0
Harpadon nehereus	1	2	0
Pseudotrichonotus altivelis	1	2	0
Bathysauroides gigas	1	2	0
Gigantura indica	1	1	0
Gigantura chuni	1	1	0
Bathysaurus mollis	1	2	0
Bathysaurus ferox	1	2	0
Hime japonica	1	2	0
Aulopus filamentosus	1	2	0
Bathysauropsis malayanus	1	2	0
Bathysauropsis gracilis	1	2	0
Bathymicrops regis	1	2	0
Bathytyphlops marionae	1	2	0
Ipnops meadi	1	2	0
Ipnops murrayi	1	2	0
Ipnops agassizii	1	2	0
Bathypterois viridensis	1	2	0
Bathypterois pectinatus	1	2	0
Bathypterois longipes	1	2	0
Rosenblattichthys nemotoi	1	2	1
Rosenblattichthys hubbsi	1	2	0
Rosenblattichthys volucris	1	2	1
Rosenblattichthys alatus	1	2	1
Scopelarchoides kreffti	1	2	1
Scopelarchoides nicholsi	1	2	0
Scopelarchoides signifer	1	2	0
Scopelarchoides climax	1	2	1
Scopelarchoides danae	1	2	1
Scopelarchus stephensi	1	2	1
Scopelarchus michaelsarsi	1	2	1
Scopelarchus analis	1	2	0
Scopelarchus guentheri	1	2	1
Parasudis truculenta	1	2	0
Ahliesaurus berryi	1	2	0
Scopelosaurus argenteus	1	2	0
Scopelosaurus hoedti	1	2	0
Benthalbella dentata	1	2	0
Benthalbella elongata	1	2	0
Benthalbella linguidens	1	2	1
Benthalbella infans	1	2	1
Lagiacrusichthys macropinnis	1	2	0
Dolichosudis fuliginosa	1	2	1
Uncisudis quadrimaculata	1	2	1
Uncisudis posteropelvis	1	2	1
Uncisudis longirostra	1	2	1
Uncisudis advena	1	2	0
Lestrolepis luetkeni	1	2	1
Lestrolepis japonica	1	2	1
Lestrolepis intermedia	1	2	0
Macroparalepis brevis	1	2	1
Macroparalepis affinis	1	2	0
Macroparalepis nigra	1	2	1
Macroparalepis macrogeneion	1	2	1
Macroparalepis longilateralis	1	2	1
Macroparalepis danae	1	2	1
Macroparalepis johnfitchi	1	2	1
Chlorophthalmus atlanticus	1	2	0
Chlorophthalmus agassizi	1	2	0
Lestidium nudum	1	2	1
Lestidium bigelowi	1	2	1
Lestidium pseudosphyraenoides	1	2	1
Lestidium prolixum	1	2	1
Lestidium atlanticum	1	2	0
Magnisudis indica	1	2	1
Magnisudis prionosa	1	2	1
Magnisudis atlantica	1	2	0
