taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Gymnothorax elegans	0	0	1
Sauromuraenesox vorax	1	1	1
Muraenesocidae sp. FNSIC038-11	?	?	?
Congresox talabon	1	1	1
Congresox talabonoides	1	1	1
Cynoponticus coniceps	1	1	1
Cynoponticus savanna	1	1	1
Cynoponticus ferox	1	1	1
Muraenesox obrutus	?	?	?
Muraenesox sp. MP-2008	?	?	?
Muraenesox bagio	1	1	1
Muraenesox cinereus	1	1	1
Gavialiceps taiwanensis	1	1	1
Gavialiceps bertelseni	1	1	1
Gavialiceps javanicus	1	1	1
Gavialiceps arabicus	1	1	1
Gavialiceps taeniola	1	1	1
Oxyconger leptognathus	1	1	1
Sympenchelys taiwanensis	?	?	?
Stictorhinus potamius	?	?	?
Ophichtus tchangi	?	?	?
Cirrihimuraena yuanding	?	?	?
Pylorobranchus hearstorum	?	?	?
Pylorobranchus hoi	?	?	?
Glenoglossa wassi	?	?	?
Benthenchelys indicus	?	?	?
Benthenchelys cartieri	?	?	?
Benthenchelys pacificus	?	?	?
Asarcenchelys longimanus	?	?	?
Schismorhynchus labialis	?	?	?
Schultzidia retropinnis	?	?	?
Schultzidia johnstonensis	?	?	?
Mixomyrophis longidorsalis	?	?	?
Mixomyrophis pusillipinna	?	?	?
Skythrenchelys lentiginosa	?	?	?
Skythrenchelys zabra	?	?	?
Neenchelys similis	?	?	?
Neenchelys pelagica	?	?	?
Neenchelys parvipectoralis	?	?	?
Neenchelys gracilis	?	?	?
Neenchelys diaphora	?	?	?
Neenchelys andamanensis	?	?	?
Neenchelys sp. WJC555	?	?	?
Neenchelys mccoskeri	?	?	?
Neenchelys daedalus	?	?	?
Neenchelys buitendijki	?	?	?
Neenchelys retropinna	?	?	?
Neenchelys microtretus	?	?	?
Pseudomyrophis frio	?	?	?
Pseudomyrophis fugesae	?	?	?
Pseudomyrophis nimius	?	?	?
Pseudomyrophis atlanticus	?	?	?
Pseudomyrophis micropinna	?	?	?
Pseudomyrophis sp. BOLD:AAF8543	?	?	?
Ahlia egmontis	?	?	?
Myrophis anterodorsalis	?	?	?
Myrophis microchir	?	?	?
Myrophis lepturus	?	?	?
Myrophis cheni	?	?	?
Myrophis australis	?	?	?
Myrophis plumbeus	?	?	?
Myrophis platyrhynchus	?	?	?
Myrophis sp. BOLD:AAB7196	?	?	?
Myrophis vafer	?	?	?
Myrophis sp. BOLD:AAI3349	?	?	?
Myrophis punctatus	?	?	?
Muraenichthys velinasalis	?	?	?
Muraenichthys macrostomus	0	0	1
Muraenichthys philippinensis	0	0	1
Muraenichthys thompsoni	0	0	1
Muraenichthys sibogae	0	0	1
Muraenichthys elerae	?	?	?
Muraenichthys schultzei	0	0	1
Muraenichthys sp. 2 NH-2012	?	?	?
Muraenichthys gymnopterus	0	0	1
Muraenichthys sp. PKU 6001	?	?	?
Muraenichthys sp. CHW-2002	?	?	?
Scolecenchelys robusta	?	?	?
Scolecenchelys brevicaudata	?	?	?
Scolecenchelys fuscapenis	?	?	?
Scolecenchelys fuscogularis	?	?	?
Scolecenchelys nicholsae	?	?	?
Scolecenchelys cookei	?	?	?
Scolecenchelys australis	?	?	?
Scolecenchelys macroptera	?	?	?
Scolecenchelys erythraeensis	?	?	?
Scolecenchelys okamurai	?	?	?
Scolecenchelys tasmaniensis	?	?	?
Scolecenchelys chilensis	?	?	?
Scolecenchelys laticaudata	?	?	?
Scolecenchelys puhioilo	?	?	?
Scolecenchelys godeffroyi	?	?	?
Scolecenchelys profundorum	?	?	?
Scolecenchelys acutirostris	?	?	?
Scolecenchelys castlei	?	?	?
Scolecenchelys vermiformis	?	?	?
Scolecenchelys japonica	?	?	?
Scolecenchelys xorae	?	?	?
